DMU,Month,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Hour0,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Authors,Topics,Asent_Sentiment,Textblob_Sentiment,Textblob_Subjectivity,Engagement,Total_Reach,Organic_Reach,Paid_Reach,Viral_Reach,Engaged_Users,Engaged_Page_Fans,Other_Engaged_Users,Fan_Reach,Consumptions,Link_Clicks,Photo_Views,Video_Plays,Other_Clicks,Total_Engagement,Likes,Comments,Shares,Total_Impressions,Organic_Impressions,Paid_Impressions,Viral_Impressions,Stories,Story_Likes,Story_Comments,Story_Shares
461,10,0,0,0,0,1571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,soren andersen,entertainment,1571,2000,1000,2,12112,11822,0,247,155,147,8,11313,157,66,0,0,67,36,34,1,1,19799,19483,0,316,38,35,2,1
463,10,0,0,0,0,1636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,soren andersen,entertainment,1636,2000,300,2,8041,7777,0,275,138,126,12,7271,116,48,1,0,51,55,49,1,5,12746,12311,0,435,59,51,3,5
465,10,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,tom keogh,entertainment,1189,1002,201,1,3880,3708,0,253,52,44,8,3397,39,23,0,0,12,18,15,0,3,6052,5644,0,408,26,22,1,3
466,10,0,0,0,0,1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,andrew gospe,entertainment,1526,1000,0,2,4724,4635,0,131,107,99,8,4365,82,53,0,0,27,37,34,1,2,7766,7560,0,206,43,37,4,2
467,10,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,daniel beekman,politics,1000,1000,357,4,18007,17008,0,959,474,433,41,16418,585,229,0,0,218,102,84,12,6,28175,26805,0,1370,122,86,30,6
468,10,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,0,0,0,geoff baker,sports,228,1010,327,4,20836,19003,0,1784,653,374,279,18626,831,506,0,0,199,24,15,0,9,35081,31019,0,4062,49,28,12,9
469,10,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,colin diltz,sports,1000,1000,750,2,11440,11063,0,367,147,135,12,10622,117,46,1,0,56,67,60,2,5,18782,18272,0,510,70,61,4,5
470,10,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,providence cicero,life,1000,1000,178,2,9061,8961,0,88,119,112,7,8382,133,85,0,0,34,10,8,0,2,14388,14253,0,135,10,8,0,2
471,10,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,ángel gonzález,business,1000,1000,0,9,116938,31480,63183,25370,9035,1646,7389,30855,9591,7926,0,0,1091,469,429,22,18,166658,51205,76578,38875,548,484,45,19
472,10,0,0,0,0,1572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,brian j. cantwell,life,1572,1000,0,2,2178,1935,0,243,41,32,9,1735,23,13,0,0,8,18,16,0,2,3261,2890,0,371,23,21,0,2
473,10,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266,0,0,0,0,0,letters editor,opinion,1000,1266,633,2,10984,10845,0,129,168,154,14,10346,185,82,0,0,75,19,16,1,2,16680,16485,0,195,20,17,1,2
474,10,0,0,0,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,0,0,0,0,0,0,moira macdonald,entertainment,696,833,833,2,3131,3085,0,36,56,49,7,2768,57,41,0,0,11,8,7,0,1,4881,4824,0,57,10,7,2,1
475,10,0,0,0,0,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,0,0,0,0,0,0,0,bethany jean clement,life,923,1020,588,3,13317,12431,0,750,295,272,23,11820,333,96,0,0,183,49,29,16,4,21578,20412,0,1166,55,31,20,4
476,10,0,0,0,0,1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,0,0,0,0,0,0,0,0,daniel beekman,politics,1415,1125,425,4,13533,13345,0,290,451,429,22,13070,512,331,0,0,155,27,24,2,1,21299,20917,0,382,30,26,2,2
477,10,0,0,0,0,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0,0,0,0,0,0,0,0,becky bohrer,seattle-news,846,875,375,2,11146,10481,0,583,161,141,20,10055,125,49,0,0,60,69,58,3,8,17123,16206,0,917,75,64,3,8
478,10,0,0,0,0,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,bob condotta,sports,877,900,0,10,133104,53371,236,81491,11415,4032,7383,49805,13560,6862,2,0,5154,491,144,94,253,229733,89327,245,140161,1294,390,632,272
479,10,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,lynn thompson,seattle-news,1000,1600,1000,5,67837,37638,0,30101,2993,1661,1332,37884,2936,1550,0,0,869,771,592,52,127,115322,64667,0,50655,1201,896,166,139
480,10,0,0,0,0,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266,0,0,0,0,0,0,0,0,0,seattle times staff,environment,1041,1266,583,4,31612,27890,0,4291,1119,904,215,27639,1284,876,1,0,232,78,47,6,25,51960,44659,0,7301,117,68,20,29
481,10,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,carrie dennett,life,198,285,857,3,21784,18843,0,3648,454,369,85,18390,400,188,0,0,161,199,146,7,46,34398,28674,0,5724,240,176,16,48
482,10,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,paresh dave,business,1000,1500,500,2,18645,17426,0,1282,337,295,42,17139,374,202,0,0,133,65,53,4,8,28010,26134,0,1876,65,54,4,7
483,10,0,0,0,0,1000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bob condotta,sports,1000,1000,0,6,25165,21894,0,3192,1231,932,299,21387,1546,861,0,0,509,86,55,26,5,41649,36878,0,4771,110,58,47,5
484,10,0,0,0,0,1000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mike carter,education,1000,1000,0,8,34011,26264,0,7911,1541,1090,451,25663,2222,268,0,0,1051,485,327,129,29,53145,42070,0,11075,772,372,372,28
485,10,0,0,0,0,841,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,seattle times staff,entertainment,841,1000,0,4,29713,23258,0,6792,879,721,158,22722,925,589,0,0,199,212,126,11,75,48072,37258,0,10814,288,176,36,76
486,10,0,0,0,0,1000,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tan vinh,life,1000,1100,800,4,30810,23443,0,7419,951,709,242,23007,1016,608,0,0,269,169,134,7,28,49123,37370,0,11753,246,186,32,28
487,10,0,0,0,0,1000,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bob condotta,sports,1000,948,96,10,67910,39408,19173,10329,5885,2310,3575,38859,6574,4664,0,0,1416,236,190,32,14,106484,71828,19608,15048,264,199,51,14
488,10,0,0,0,0,1312,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tan vinh,life,1312,1800,750,4,30179,20350,0,9653,979,760,219,19922,611,278,0,0,252,554,442,22,90,47691,33153,0,14538,682,533,58,91
489,10,0,0,0,0,1000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paige cornwell,education,1000,1000,66,2,12460,12163,0,264,149,131,18,11648,185,75,0,0,83,15,7,7,1,20796,20409,0,387,20,10,9,1
491,10,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,misha berson,entertainment,1158,1000,0,1,6995,6426,0,643,77,68,9,6250,58,40,0,0,13,34,29,1,4,12271,11187,0,1084,36,31,1,4
492,10,0,0,0,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,jayson jenks,sports,1458,1500,1000,7,29995,21776,0,8689,1543,1029,514,21252,1734,980,0,0,484,348,293,34,21,49472,36437,0,13035,375,312,41,22
493,10,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,tyrone beason,entertainment,1180,1000,416,0,8692,8663,0,8,47,44,3,8263,44,26,0,0,14,7,7,0,0,14949,14939,0,10,7,7,0,0
494,10,0,0,0,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,daniel beekman,politics,559,1000,0,2,10422,10140,0,264,177,156,21,9730,190,117,0,0,52,14,13,0,1,17507,17068,0,439,17,15,1,1
495,10,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,"david mchugh, tom krisher",nation-world,1000,1000,0,3,14938,14513,0,453,424,383,41,13877,464,296,0,0,143,31,26,4,1,24367,23716,0,651,31,26,4,1
497,10,0,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,paige cornwell,education,598,1500,500,2,9347,9095,0,262,157,144,13,8705,128,65,1,0,55,54,50,1,3,15905,15503,0,402,54,50,1,3
498,10,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,jon talton,business,1000,1000,0,1,5431,5431,0,3,48,43,5,4935,63,20,0,0,30,3,2,1,0,9153,9150,0,3,3,2,1,0
499,10,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,0,0,0,0,matt calkins,sports,1000,1100,100,4,26122,18832,0,6722,873,563,310,18169,865,403,0,0,338,275,232,24,19,41359,31291,0,10068,313,252,42,19
500,10,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,don shelton,sports,948,1000,0,12,98666,36528,53520,6829,10441,2373,8068,35971,11618,9725,6,0,1054,176,134,28,14,139917,65990,64050,9877,197,141,42,14
501,10,0,0,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,0,0,0,0,0,valerie easton,pacific-nw-magazine,1440,1700,600,1,5424,5414,0,22,43,41,2,4946,44,25,0,0,13,11,9,1,1,9231,9204,0,27,11,9,1,1
502,10,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,carolyn lubenau,opinion,1000,1500,500,7,69584,36261,0,33207,3488,2082,1406,36040,2662,746,2,0,1294,1933,1579,54,300,107962,58630,0,49332,2392,1951,138,303
503,10,0,0,0,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,0,0,evan bush,seattle-news,1493,1400,500,7,62002,41719,3159,17948,3612,2135,1477,41158,4154,2411,1,0,1267,476,390,17,69,103459,72550,3394,27515,611,476,64,71
504,10,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,adam jude,sports,1000,1000,1000,3,9467,8412,0,1103,263,216,47,8144,180,64,0,0,90,128,116,3,9,15877,14133,0,1744,146,127,10,9
505,10,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,0,0,0,0,0,0,0,danny westneat,seattle-news,298,679,525,4,20324,14306,0,6307,592,322,270,14748,777,360,0,0,294,44,30,3,11,33919,22819,0,11100,91,59,20,12
506,10,0,0,0,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,madeline mckenzie,entertainment,1246,1000,0,3,13052,11806,0,1117,349,315,34,11352,283,188,0,0,62,119,104,1,14,20990,19205,0,1785,129,112,2,15
507,10,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,daniel beekman,politics,1180,1200,100,1,6126,6053,0,58,58,55,3,5816,58,32,0,0,21,8,7,0,1,9900,9816,0,84,8,7,0,1
508,10,0,0,0,1381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0,0,0,0,0,0,0,0,jessica lee,seattle-news,1381,875,375,4,14250,13001,0,1349,511,469,42,12612,540,109,0,0,369,90,77,8,5,22824,20974,0,1850,96,82,9,5
509,10,0,0,0,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750,0,0,0,0,0,0,0,0,bethany jean clement,life,1365,1750,650,6,41234,28748,1652,10655,1833,1343,490,28309,2291,1129,0,0,767,234,140,41,53,67283,47939,1685,17659,356,186,113,57
510,10,0,0,0,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084,0,0,0,0,0,0,0,0,bethany jean clement,life,1038,1084,283,3,11265,10089,0,1161,242,216,26,9955,239,115,0,0,93,63,56,2,5,18402,16331,0,2071,72,60,6,6
511,10,0,0,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,0,0,0,0,0,0,0,0,steve miletich,seattle-news,753,1350,300,3,16055,14018,0,1946,391,335,56,13530,285,141,0,0,99,197,182,6,9,24693,21796,0,2897,211,193,9,9
512,10,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,matt day,business,1000,1000,0,2,7125,6710,0,450,131,118,13,6489,109,55,0,0,43,40,35,1,4,11899,11128,0,771,47,41,2,4
513,10,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,evan bush,seattle-news,1000,1000,0,4,26060,23794,206,1920,964,878,86,23308,1095,587,0,0,396,69,48,10,11,40917,37840,211,2866,83,55,17,11
516,10,0,0,0,1406,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"julie pace, lisa lerer",nation-world,1406,1000,100,7,25888,23391,681,2077,1112,947,165,23200,1623,356,0,0,749,118,69,46,3,40116,36430,692,2994,190,71,115,4
517,10,0,0,0,1004,0,0,0,0,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rick lund,sports,1004,718,560,4,21629,19318,0,2542,658,520,138,19009,844,443,0,0,233,85,70,5,10,34062,30115,0,3947,117,83,24,10
